"""Component Code""","""Problem Description""",SQ,"""In Process- NDF""",FPY,CAL,"""SIR 1 MIS""",PPM,"""Component Codes""","""Problem Descriptions""","""Component Problem""",sum,col
Speed wheel,Pandeado,44,0,0,0,0,401,82,120,82120,-1.30E+52,2.69E-22
Fascia,Pandeado,1,0,0,0,0,9,53,120,53120,-1.30E+52,2.69E-22
AGITADOR,Pandeado,0,1,2,0,0,27,4,120,4120,-1.30E+52,2.69E-22
Fascia,Overlay movido,1,0,0,0,0,9,53,119,53119,-4.80E+51,9.88E-23
Fascia,Overlay marcado / Rayado,29,0,0,0,0,264,53,118,53118,-1.77E+51,3.63E-23
Fascia,Overlay despegado,0,0,1,0,0,9,53,117,53117,-6.49E+50,1.34E-23
Fascia,Overlay con burbuja / grumo,43,13,11,0,0,610,53,116,53116,-2.39E+50,4.92E-24
TINA,Orificio tapado,0,2,1,0,0,27,84,115,84115,-8.79E+49,1.81E-24
Fascia,Orificio tapado,1,0,0,0,0,9,53,115,53115,-8.79E+49,1.81E-24
ACTUATOR - SHIFT,Omision Ausente,0,1,0,0,0,9,0,114,114,-3.23E+49,6.66E-25
Top panel,Nut ausente,0,0,1,0,0,9,89,113,89113,-1.19E+49,2.45E-25
Tarjeta Robin,No realiza prueba,11,0,0,0,0,100,88,112,88112,-4.38E+48,9.01E-26
Mega,No realiza prueba,4,1,0,0,0,46,71,112,71112,-4.38E+48,9.01E-26
ACU,No realiza prueba,55,22,0,0,0,701,1,112,1112,-4.38E+48,9.01E-26
ACU,No entra cable en data,12,0,0,0,0,109,1,111,1111,-1.61E+48,3.31E-26
ACU,No enciende,16,0,0,0,0,146,1,110,1110,-5.92E+47,1.22E-26
ACU,No descandadea unidad,1,0,0,0,0,9,1,109,1109,-2.18E+47,4.49E-27
DISPENSADOR,No de parte equivocado,0,0,2,0,0,18,42,108,42108,-8.01E+46,1.65E-27
ARNES DE MOTOR,No de parte equivocado,0,0,1,0,0,9,10,108,10108,-8.01E+46,1.65E-27
VÁLVULA,No abre,1,0,0,0,2,27,92,107,92107,-2.95E+46,6.07E-28
ACU,Nivel de agua,2,0,0,0,0,18,1,106,1106,-1.08E+46,2.23E-28
Fascia,Modelo equivocado,14,21,3,0,0,346,53,105,53105,-3.99E+45,8.21E-29
ACU,Marca spin corriente / corriente 0 no realiza spin,22,0,0,0,0,200,1,104,1104,-1.47E+45,3.02E-29
Gabinetes,Marca de rebaba,0,0,1,0,0,9,54,103,54103,-5.40E+44,1.11E-29
BOMBA,Manguera mal ensamblada,0,0,2,0,0,18,24,102,24102,-1.99E+44,4.09E-30
BOMBA,Manguera dañada,0,0,0,1,0,9,24,101,24101,-7.31E+43,1.50E-30
Tarjeta Robin,Mal ruteo,0,0,3,0,0,27,88,100,88100,-2.69E+43,5.54E-31
Top panel,Mal retrabajo,1,0,0,0,0,9,89,99,8999,-9.89E+42,2.04E-31
Canasta drum,Mal rectificado,0,5,0,0,0,46,35,98,3598,-3.64E+42,7.49E-32
ACU,Mal programado en línea,0,14,56,0,0,638,1,97,197,-1.34E+42,2.76E-32
LABEL SCALE LEVEL,Mal posicionado,0,2,0,0,0,18,59,96,5996,-4.92E+41,1.01E-32
Inner tray,Mal pegadas,4,0,0,0,0,36,56,95,5695,-1.81E+41,3.73E-33
LABEL - PROD REG,Mal impresa,23,0,0,0,0,210,58,94,5894,-6.66E+40,1.37E-33
LABEL - 10 YEARS WARRANTY,Mal impresa,402,0,0,0,0,3662,57,94,5794,-6.66E+40,1.37E-33
Top panel,Mal ensamble,0,2,8,0,0,91,89,93,8993,-2.45E+40,5.05E-34
TINA,Mal ensamble,0,1,0,0,0,9,84,93,8493,-2.45E+40,5.05E-34
REAR PANEL,Mal ensamble,0,2,0,0,1,27,79,93,7993,-2.45E+40,5.05E-34
Mega,Mal ensamble,2,1,1,0,0,36,71,93,7193,-2.45E+40,5.05E-34
LID,Mal ensamble,0,1,1,0,0,18,60,93,6093,-2.45E+40,5.05E-34
Impeller,Mal ensamble,0,2,0,0,0,18,55,93,5593,-2.45E+40,5.05E-34
Fascia,Mal ensamble,0,8,2,0,0,91,53,93,5393,-2.45E+40,5.05E-34
Encoder,Mal ensamble,0,8,1,0,0,82,44,93,4493,-2.45E+40,5.05E-34
Dispenser sencillo,Mal ensamble,0,0,1,0,0,9,43,93,4393,-2.45E+40,5.05E-34
DISPENSADOR,Mal ensamble,31,0,0,0,0,282,42,93,4293,-2.45E+40,5.05E-34
Clip arnes blanco,Mal ensamble,0,3,0,0,0,27,39,93,3993,-2.45E+40,5.05E-34
Canasta drum,Mal ensamble,0,3,1,0,0,27,35,93,3593,-2.45E+40,5.05E-34
CAPACITOR,Mal ensamble,4,0,0,0,0,36,31,93,3193,-2.45E+40,5.05E-34
BOMBA,Mal ensamble,0,2,0,0,0,18,24,93,2493,-2.45E+40,5.05E-34
Arnes principal,Mal ensamble,0,2,0,1,0,27,16,93,1693,-2.45E+40,5.05E-34
Air dome,Mal ensamble,0,2,0,0,0,18,13,93,1393,-2.45E+40,5.05E-34
ACU,Mal ensamble,0,2,38,0,0,364,1,93,193,-2.45E+40,5.05E-34
TRANSMISIÓN,Mal Ajustada,0,1,0,0,0,9,85,92,8592,-9.02E+39,1.86E-34
Canasta drum,Mal Ajustada,0,8,0,0,0,73,35,92,3592,-9.02E+39,1.86E-34
Cover hinge assy,Lid baja rápido / Falta de torque,702,0,0,0,0,6394,41,91,4191,-3.32E+39,6.83E-35
Mega,Leds encendidos (dañada),3,0,0,1,0,36,71,90,7190,-1.22E+39,2.51E-35
ACU,Leds encendidos (dañada),6,0,0,0,0,55,1,90,190,-1.22E+39,2.51E-35
Fascia,Led opaco,24,0,0,0,0,219,53,89,5389,-4.49E+38,9.24E-36
Mega,Led candado equivocado,1,0,0,0,0,9,71,88,7188,-1.65E+38,3.40E-36
ACU,LONG DRAIN / Flujo,125,0,0,0,30,1412,1,87,187,-6.08E+37,1.25E-36
Tarjeta Robin,LED no enciende,2,0,0,0,0,18,88,86,8886,-2.24E+37,4.60E-37
Tarjeta Robin,LED encendido,3,0,0,0,0,27,88,85,8885,-8.22E+36,1.69E-37
ACU,LED,5,0,0,0,0,46,1,84,184,-3.03E+36,6.23E-38
Encoder,Invertido,0,3,3,0,0,55,44,83,4483,-1.11E+36,2.29E-38
Etiqueta de advertencia,Incompleto,0,15,0,0,0,137,49,82,4982,-4.09E+35,8.43E-39
Chanel bottom,Incompleto,0,0,5,0,0,46,37,82,3782,-4.09E+35,8.43E-39
Lid Plastico,Hinge bracket equivocado,0,48,0,0,0,437,62,81,6281,-1.51E+35,3.10E-39
REAR PANEL,Golpeado,0,0,0,0,3,27,79,80,7980,-5.54E+34,1.14E-39
PATA NIVELADORA,Golpeado,0,0,0,0,1,9,73,80,7380,-5.54E+34,1.14E-39
Lid metalico,Golpeado,0,1,1,0,0,18,63,80,6380,-5.54E+34,1.14E-39
LID,Golpeado,0,0,2,0,0,18,60,80,6080,-5.54E+34,1.14E-39
Fascia,Golpeado,22,0,0,0,0,200,53,80,5380,-5.54E+34,1.14E-39
Canasta drum,Golpeado,0,1,1,0,0,18,35,80,3580,-5.54E+34,1.14E-39
AGITADOR,Gap,0,0,0,0,1,9,4,79,479,-2.04E+34,4.20E-40
TINA,Fuga,0,40,1,0,1,383,84,78,8478,-7.50E+33,1.54E-40
TRANSMISIÓN,Fuera de posición,0,1,0,0,0,9,85,77,8577,-2.76E+33,5.68E-41
SELLO DE TRANSMISIÓN,Fuera de posición,0,0,0,0,1,9,81,77,8177,-2.76E+33,5.68E-41
LID LOCK,Fuera de posición,0,1,2,0,1,36,61,77,6177,-2.76E+33,5.68E-41
DISPENSADOR,Fuera de posición,0,0,0,0,1,9,42,77,4277,-2.76E+33,5.68E-41
CUP DISPENSER,Fuera de posición,0,0,0,0,1,9,33,77,3377,-2.76E+33,5.68E-41
COVER PULLEY,Fuera de posición,0,0,0,0,1,9,32,77,3277,-2.76E+33,5.68E-41
CAM SPLUTCH,Fuera de posición,0,4,5,3,17,264,29,77,2977,-2.76E+33,5.68E-41
BALERO,Fuera de posición,0,0,0,0,1,9,19,77,1977,-2.76E+33,5.68E-41
ACTUATOR - SHIFT,Fuera de posición,0,2,2,0,2,55,0,77,77,-2.76E+33,5.68E-41
Inner tray,Fuera de especificación,1273,0,0,0,0,11595,56,76,5676,-1.01E+33,2.09E-41
Canasta drum,Fuera de especificación,0,2,0,0,0,18,35,76,3576,-1.01E+33,2.09E-41
CAPACITOR,Fuera de especificación,0,2,0,0,0,18,31,76,3176,-1.01E+33,2.09E-41
BASE PROT-PACKAGIN,Fuera de especificación,2,0,0,0,0,18,21,76,2176,-1.01E+33,2.09E-41
ARNES,Fuera de especificación,1,0,0,0,0,9,5,76,576,-1.01E+33,2.09E-41
POLEA,Floja,0,0,0,0,8,73,76,75,7675,-3.73E+32,7.69E-42
COVER PULLEY,Floja,0,6,6,0,1,118,32,75,3275,-3.73E+32,7.69E-42
VÁLVULA,Falta tapon de seguridad,1,0,0,0,0,9,92,74,9274,-1.37E+32,2.83E-42
Tarjeta Robin,Falta de transistor,1,0,0,0,0,9,88,73,8873,-5.05E+31,1.04E-42
VÁLVULA,Falta de torque,0,0,8,0,0,73,92,72,9272,-1.86E+31,3.83E-43
REAR PANEL,Falta de torque,0,3,0,0,0,27,79,72,7972,-1.86E+31,3.83E-43
DISPENSADOR,Falta de syphon,0,2,0,0,0,18,42,71,4271,-6.84E+30,1.41E-43
VÁLVULA,Falta de sello,16,0,1,2,2,191,92,70,9270,-2.52E+30,5.18E-44
ACU,Falta de pin / pin dañado,2,0,0,0,0,18,1,69,169,-9.25E+29,1.91E-44
MANGUERA DE DRENADO,Falta de guía,2,0,0,0,0,18,66,68,6668,-3.40E+29,7.01E-45
MOTOR,Falta de etiqueta,1,0,0,0,0,9,69,67,6967,-1.25E+29,2.58E-45
Tarjeta Robin,Falta de LED,4,0,0,0,0,36,88,66,8866,-4.61E+28,9.49E-46
LID LOCK,Falta cincho,2,0,0,0,0,18,61,65,6165,-1.69E+28,3.49E-46
BASE PROT-PACKAGIN,Falta EPS,3,0,0,0,0,27,21,64,2164,-6.24E+27,1.28E-46
VARILLAS DE SUSPENSIÓN,Falta,0,0,0,0,1,9,91,63,9163,-2.29E+27,4.72E-47
MANGUERA DE DRENADO,Falta,0,0,0,0,2,18,66,63,6663,-2.29E+27,4.72E-47
Tarjeta Robin,Falla funcional,22,105,38,0,0,1503,88,62,8862,-8.44E+26,1.74E-47
Mega,Falla funcional,4,69,66,0,0,1266,71,62,7162,-8.44E+26,1.74E-47
Encoder,Falla funcional,2,0,1,0,0,27,44,62,4462,-8.44E+26,1.74E-47
Cable poder,Falla funcional,0,1,0,0,0,9,34,62,3462,-8.44E+26,1.74E-47
CAPACITOR,Falla funcional,1,0,5,0,0,55,31,62,3162,-8.44E+26,1.74E-47
Arnes cable de tierra,Falla funcional,0,0,1,0,0,9,14,62,1462,-8.44E+26,1.74E-47
ACU,Falla funcional,15,0,152,0,0,1521,1,62,162,-8.44E+26,1.74E-47
ACU,Falla en llenado,2,0,0,0,0,18,1,61,161,-3.10E+26,6.39E-48
MOTOR,Falla en agitación,3,0,0,0,0,27,69,60,6960,-1.14E+26,2.35E-48
ACU,Falla de programación,3,0,0,0,0,27,1,59,159,-4.20E+25,8.65E-49
Mega,Falla de led,2,1,4,0,0,64,71,58,7158,-1.55E+25,3.18E-49
Tarjeta Robin,Falla de LED,0,8,11,0,0,173,88,57,8857,-5.69E+24,1.17E-49
ACU,Falla conector para prueba data,1,0,0,0,0,9,1,56,156,-2.09E+24,4.31E-50
MOTOR,Falla ccw,1,0,0,0,0,9,69,55,6955,-7.69E+23,1.58E-50
ACU,Error en lavado,1,0,0,0,0,9,1,54,154,-2.83E+23,5.83E-51
VÁLVULA,Equivocado,84,0,0,0,0,765,92,53,9253,-1.04E+23,2.14E-51
VARILLAS DE SUSPENSIÓN,Equivocado,0,3,0,0,0,27,91,53,9153,-1.04E+23,2.14E-51
Top panel,Equivocado,144,81,0,0,0,2049,89,53,8953,-1.04E+23,2.14E-51
Lid Plastico,Equivocado,24,7,0,0,0,282,62,53,6253,-1.04E+23,2.14E-51
LABEL SCALE LEVEL,Equivocado,500,10,0,0,0,4645,59,53,5953,-1.04E+23,2.14E-51
Cover hinge LH y RH,Equivocado,39,2,1,0,0,383,40,53,4053,-1.04E+23,2.14E-51
CAP HINGE,Equivocado,242,0,0,0,0,2204,30,53,3053,-1.04E+23,2.14E-51
AGITADOR,Equivocado,24,95,0,0,0,1084,4,53,453,-1.04E+23,2.14E-51
Arnes cable de tierra,Enredado / atrapado,0,1,2,0,0,27,14,52,1452,-3.83E+22,7.89E-52
ARNES DE MOTOR,Enredado / atrapado,0,1,2,0,0,27,10,52,1052,-3.83E+22,7.89E-52
ARNES ACTUADOR,Enredado / atrapado,0,1,3,0,0,36,6,52,652,-3.83E+22,7.89E-52
MOTOR // CAPACITOR,En corto,0,0,0,0,1,9,70,51,7051,-1.41E+22,2.90E-52
MOTOR,En corto,2,0,8,0,2,109,69,51,6951,-1.41E+22,2.90E-52
LID LOCK,En corto,1,0,5,0,3,82,61,51,6151,-1.41E+22,2.90E-52
BOMBA // ACU,En corto,0,0,0,0,1,9,25,51,2551,-1.41E+22,2.90E-52
BOMBA,En corto,1,0,0,0,3,36,24,51,2451,-1.41E+22,2.90E-52
ACU//Bomba,En corto,0,0,16,0,1,155,3,51,351,-1.41E+22,2.90E-52
ACU //Actuador,En corto,0,0,0,0,1,9,2,51,251,-1.41E+22,2.90E-52
ACU,En corto,1,0,0,1,1,27,1,51,151,-1.41E+22,2.90E-52
ACTUATOR - SHIFT,En corto,1,0,2,0,22,228,0,51,51,-1.41E+22,2.90E-52
PLANETARIO,Empaque dañado,1,0,0,0,0,9,75,50,7550,-5.18E+21,1.07E-52
MOTOR,Embobinado dañado,2,0,0,0,0,18,69,49,6949,-1.91E+21,3.93E-53
ACU,Dreno sin terminar ciclo,12,0,0,0,0,109,1,48,148,-7.02E+20,1.44E-53
TRANSMISIÓN,Doble componente,0,1,0,0,0,9,85,47,8547,-2.58E+20,5.32E-54
MANGUERA APS,Doblada,702,0,0,0,1,6403,65,46,6546,-9.50E+19,1.96E-54
Cable poder,Distancia de clip corta,1,0,0,0,0,9,34,45,3445,-3.49E+19,7.19E-55
Gabinetes,Desprendimiento de pintura,0,0,1,0,0,9,54,44,5444,-1.29E+19,2.65E-55
Lid vidrio,Despegado,2,0,0,1,0,27,64,43,6443,-4.73E+18,9.74E-56
LABEL SCALE LEVEL,Despegado,0,1,0,0,0,9,59,43,5943,-4.73E+18,9.74E-56
Inner tray,Despegado,664,0,0,0,0,6048,56,43,5643,-4.73E+18,9.74E-56
Etiqueta de advertencia,Despegado,0,3,0,0,0,27,49,43,4943,-4.73E+18,9.74E-56
BASE PROT-PACKAGIN,Despegado,6,0,0,0,0,55,21,43,2143,-4.73E+18,9.74E-56
MANGUERA APS,Desconectado,0,3,4,0,1,73,65,42,6542,-1.74E+18,3.58E-56
ARNES DE VÁLVULA,Desconectado,0,2,2,0,10,128,11,42,1142,-1.74E+18,3.58E-56
ARNES DE MOTOR,Desconectado,0,2,3,0,6,100,10,42,1042,-1.74E+18,3.58E-56
ARNES DE CAPACITOR,Desconectado,0,3,3,0,7,118,9,42,942,-1.74E+18,3.58E-56
