RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM
C,ago - dic 2019,Canasta drum,Base golpeado / quebrado,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Canasta drum,Balance golpeado / quebrado,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Canasta drum,Mal ensamble de tapón en balance ring,"109,784",0,1,0,0,0,1,9
B,ago - dic 2019,CAP HINGE,Rayadas,"109,784",535,0,0,0,0,535,"4,873"
B,ago - dic 2019,CAP HINGE,Equivocado,"109,784",242,0,0,0,0,242,"2,204"
C,ago - dic 2019,CAP HINGE,Quebrado,"109,784",2,0,0,0,0,2,18
B,ago - dic 2019,CAPACITOR,Dañado / Quebrado,"109,784",0,1,1,0,1,3,27
C,ago - dic 2019,CAPACITOR,Conector invertido,"109,784",45,0,0,0,0,45,410
C,ago - dic 2019,CAPACITOR,Terminal doblada,"109,784",0,9,1,0,0,10,91
C,ago - dic 2019,CAPACITOR,Falla funcional,"109,784",1,0,5,0,0,6,55
C,ago - dic 2019,CAPACITOR,Fuera de especificación,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,CAPACITOR,Conector dañado,"109,784",2,1,0,0,0,3,27
C,ago - dic 2019,CAPACITOR,Mal ensamble,"109,784",4,0,0,0,0,4,36
C,ago - dic 2019,Carton tag,Ausente,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,Chanel bottom,Incompleto,"109,784",0,0,5,0,0,5,46
C,ago - dic 2019,Channel top rear,Agrietado,"109,784",0,7,0,0,0,7,64
C,ago - dic 2019,Clip arnes blanco,Mal ensamble,"109,784",0,3,0,0,0,3,27
AA,ago - dic 2019,Cover hinge assy,Lid baja rápido / Falta de torque,"109,784",702,0,0,0,0,702,"6,394"
A,ago - dic 2019,Cover hinge assy,Tiro corto,"109,784",205,0,0,0,0,205,"1,867"
C,ago - dic 2019,Cover hinge assy,Tono diferente,"109,784",41,0,0,0,0,41,373
B,ago - dic 2019,Cover hinge LH y RH,Tono diferente,"109,784",551,0,0,0,0,551,"5,019"
C,ago - dic 2019,Cover hinge LH y RH,Equivocado,"109,784",39,2,1,0,0,42,383
C,ago - dic 2019,Cover hinge LH y RH,Rebaba,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,Cover hinge LH y RH,Tiro corto,"109,784",2,0,0,0,0,2,18
B,ago - dic 2019,COVER PULLEY,Suelto,"109,784",0,0,0,0,3,3,27
C,ago - dic 2019,COVER PULLEY,Flojo / falta de torque / Tornillo ausente,"109,784",0,6,6,0,1,13,118
C,ago - dic 2019,COVER PULLEY,Fuera de posición,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,COVER PULLEY,Ausente,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,COVER PULLEY,Quebrado,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,COVER PULLEY,Poste deforme,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,CUP DISPENSER,Fuera de posición,"109,784",0,0,0,0,1,1,9
B,ago - dic 2019,DISPENSADOR,Roto,"109,784",0,0,5,0,2,7,64
C,ago - dic 2019,DISPENSADOR,Fuera de posición,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,DISPENSADOR,Tono diferente,"109,784",33,0,0,0,0,33,301
C,ago - dic 2019,DISPENSADOR,Mal ensamble,"109,784",31,0,0,0,0,31,282
C,ago - dic 2019,DISPENSADOR,Deforme,"109,784",6,2,0,0,0,8,73
C,ago - dic 2019,DISPENSADOR,Tornillo ausente,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,DISPENSADOR,No de parte equivocado,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,DISPENSADOR,Falta de syphon,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,DISPENSADOR,Ausente,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,DISPENSADOR,Tiro corto,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Dispenser sencillo,Ausente en agitador,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,Dispenser sencillo,Mal ensamblado,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Encoder,Mal ensamble / sin ensamblar,"109,784",0,8,1,0,0,9,82
C,ago - dic 2019,Encoder,Invertido,"109,784",0,3,3,0,0,6,55
