Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
ago - dic 2019,,ACU,No realiza prueba / Falla en prueba,"109,784",55,22,0,0,0,0,0,77,701,5,10.97,15,0.93,11.9,5,4,55,66,0,0,0,0,0,"12,100"
ago - dic 2019,,ACU,En corto,"109,784",1,0,0,1,0,0,1,3,27,5,10.97,15,0.93,11.9,5,4,1,0,0,30,0,0,48,"7,900"
ago - dic 2019,,ACU,Dañado,"109,784",5,0,0,0,0,0,1,2,18,5,10.97,15,0.93,11.9,5,4,5,0,0,0,0,0,48,"5,300"
ago - dic 2019,,ACU,Desajustado,"109,784",0,0,0,0,0,0,1,1,9,4,10.97,15,0.93,11.9,5,4,0,0,0,0,0,0,48,"3,840"
ago - dic 2019,,ACU,Marca spin corriente / corriente 0 no realiza spin,"109,784",22,0,0,0,0,0,0,22,200,5,10.97,15,0.93,11.9,5,4,22,0,0,0,0,0,0,"2,200"
ago - dic 2019,,ACU,Conector invertido,"109,784",0,0,4,0,0,0,0,4,36,5,10.97,15,0.93,11.9,5,4,0,0,20,0,0,0,0,"2,000"
ago - dic 2019,,ACU,No enciende,"109,784",16,0,0,0,0,0,0,16,146,5,10.97,15,0.93,11.9,5,4,16,0,0,0,0,0,0,"1,600"
ago - dic 2019,,ACU,No entra cable en data,"109,784",12,0,0,0,0,0,0,12,109,5,10.97,15,0.93,11.9,5,4,12,0,0,0,0,0,0,"1,200"
ago - dic 2019,,ACU,Dreno sin terminar ciclo,"109,784",12,0,0,0,0,0,0,12,109,5,10.97,15,0.93,11.9,5,4,12,0,0,0,0,0,0,"1,200"
ago - dic 2019,,ACU,Conector quebrado / Conector dañado,"109,784",1,0,2,0,0,0,0,3,27,5,10.97,15,0.93,11.9,5,4,1,0,10,0,0,0,0,"1,100"
ago - dic 2019,,ACU,Conector equivocado,"109,784",6,0,0,0,0,0,0,6,55,5,10.97,15,0.93,11.9,5,4,6,0,0,0,0,0,0,600
ago - dic 2019,,ACU,Leds encendidos (dañada),"109,784",6,0,0,0,0,0,0,6,55,5,10.97,15,0.93,11.9,5,4,6,0,0,0,0,0,0,600
ago - dic 2019,,ACU,LED,"109,784",5,0,0,0,0,0,0,5,46,5,10.97,15,0.93,11.9,5,4,5,0,0,0,0,0,0,500
ago - dic 2019,,ACU,Valvula 2 corriente 82 / valvula corriente,"109,784",4,0,0,0,0,0,0,4,36,5,10.97,15,0.93,11.9,5,4,4,0,0,0,0,0,0,400
ago - dic 2019,,ACU,Falla de programación,"109,784",3,0,0,0,0,0,0,3,27,5,10.97,15,0.93,11.9,5,4,3,0,0,0,0,0,0,300
ago - dic 2019,,ACU,Agitacion CWW / falla agitación motor,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,Bomba de vacio,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,CCW corriente,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,Falla en llenado,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,Falta de pin / pin dañado,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,Nivel de agua,"109,784",2,0,0,0,0,0,0,2,18,5,10.97,15,0.93,11.9,5,4,2,0,0,0,0,0,0,200
ago - dic 2019,,ACU,CCW Motor de corriente,"109,784",1,0,0,0,0,0,0,1,9,4,10.97,15,0.93,11.9,5,4,1,0,0,0,0,0,0,80
ago - dic 2019,,ACU,Error en lavado,"109,784",1,0,0,0,0,0,0,1,9,4,10.97,15,0.93,11.9,5,4,1,0,0,0,0,0,0,80
ago - dic 2019,,ACU,Falla conector para prueba data,"109,784",1,0,0,0,0,0,0,1,9,4,10.97,15,0.93,11.9,5,4,1,0,0,0,0,0,0,80
ago - dic 2019,,ACU,No descandadea unidad,"109,784",1,0,0,0,0,0,0,1,9,4,10.97,15,0.93,11.9,5,4,1,0,0,0,0,0,0,80
ago - dic 2019,,ACU,Sin corriente,"109,784",1,0,0,0,0,0,0,1,9,4,10.97,15,0.93,11.9,5,4,1,0,0,0,0,0,0,80
