RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
C,ago - dic 2019,Air dome,Ausente,109784,0,4,3,0,0,7,64,,,,,,,,,,
A,ago - dic 2019,ARNES CABLE DE PODER,Desconectado,109784,0,0,0,0,7,7,64,,,,,,,,,,
C,ago - dic 2019,Cable poder,Tornillo barrido,109784,0,7,0,0,0,7,64,,,,,,,,,,
C,ago - dic 2019,Channel top rear,Agrietado,109784,0,7,0,0,0,7,64,,,,,,,,,,
B,ago - dic 2019,DISPENSADOR,Quebrado,109784,0,0,5,0,2,7,64,,,,,,,,,,
C,ago - dic 2019,Etiqueta garanía,Ausente,109784,0,7,0,0,0,7,64,,,,,,,,,,
C,ago - dic 2019,Fascia,Perilla ausente,109784,0,3,4,0,0,7,64,,,,,,,,,,
C,ago - dic 2019,LID LOCK,Candadeado/Activado,109784,7,0,0,0,0,7,64,,,,,,,,,,
C,ago - dic 2019,Mega,Falla de led,109784,2,1,4,0,0,7,64,,,,,,,,,,
C,ago - dic 2019,TRANSMISIÓN,Tornillo ausente,109784,0,5,2,0,0,7,64,,,,,,,,,,
B,ago - dic 2019,ACTUATOR - SHIFT,Fuera de posición,109784,0,2,2,0,2,6,55,,,,,,,,,,
C,ago - dic 2019,ACU,Conector equivocado,109784,6,0,0,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,ACU,Leds encendidos (dañada),109784,6,0,0,0,0,6,55,,,,,,,,,,
A,ago - dic 2019,ARNES BOMBA,Desconectado,109784,0,0,0,0,6,6,55,,,,,,,,,,
C,ago - dic 2019,BASE PROT-PACKAGIN,Despegado,109784,6,0,0,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Falla funcional,109784,1,0,5,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,Encoder,Invertido,109784,0,3,3,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,Fascia,Botón fuera de especificación,109784,5,1,0,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,Impeller,Rebaba,109784,3,0,3,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,Lid Plastico,Dañado,109784,5,1,0,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,Rear top,Tornillo ausente,109784,0,6,0,0,0,6,55,,,,,,,,,,
A,ago - dic 2019,TRANSMISIÓN,Ruido,109784,0,0,0,1,5,6,55,,,,,,,,,,
B,ago - dic 2019,TRANSMISIÓN,Tornillo barrido,109784,0,1,5,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,VÁLVULA,Terminal suelta,109784,0,0,6,0,0,6,55,,,,,,,,,,
C,ago - dic 2019,ACU,LED,109784,5,0,0,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,ARNES DE CAPACITOR,Conector quebrado,109784,0,1,4,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Canasta drum,Mal rectificado,109784,0,5,0,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Chanel bottom,Incompleto,109784,0,0,5,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Mega,No realiza prueba,109784,4,1,0,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,MOTOR,Agrietado,109784,0,2,3,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Perilla,Poste deforme,109784,2,0,3,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Speed wheel,Quebrado,109784,3,1,0,1,0,5,46,,,,,,,,,,
C,ago - dic 2019,Speed wheel,Rebaba,109784,5,0,0,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Tarjeta Robin,Tornillo ausente,109784,0,2,3,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,TINA,Pivotes quebrados,109784,0,3,2,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Top panel,Defecto inyección / tiro corto,109784,3,2,0,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,Top panel,Tornillo ausente,109784,0,3,2,0,0,5,46,,,,,,,,,,
C,ago - dic 2019,ACTUATOR - SHIFT,Ciclo lento,109784,2,0,2,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,ACU,Conector invertido,109784,0,0,4,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,ACU,Valvula 2 corriente 82 / valvula corriente,109784,4,0,0,0,0,4,36,,,,,,,,,,
B,ago - dic 2019,AGITADOR,Quebrado,109784,0,1,1,0,2,4,36,,,,,,,,,,
C,ago - dic 2019,AGITADOR,Tornillo ausente,109784,0,4,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,ARNES,Terminal suelta,109784,4,0,0,0,0,4,36,,,,,,,,,,
