RANK,Part Number,Component Code,Problem Description ,Volume,SQ,In Process,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5 of freq,$,Min,Labor Cost,Total Cost,R=1:5 of cost,R=1:10 severity,1,3,5,30,35,40,48,Priority 
C,w11385745 / w11385756 / w11385737,ACU,Agitacion CWW / falla agitación motor,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,w11385745 / w11385756 / w11385737,ACU,Bomba de vacio,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,w11385745 / w11385756 / w11385737,ACU,CCW corriente,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,w11385745 / w11385756 / w11385737,ACU,Falla en llenado,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,w11385745 / w11385756 / w11385737,ACU,Falta de pin / pin dañado,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,w11385745 / w11385756 / w11385737,ACU,Nivel de agua,109784,2,0,0,0,,,0,2,18.21759091,5,10.97,15,0.9325,11.9025,5,4,2,0,0,0,0,0,0,200
C,"W10677719, W10899834, W10677721",MOTOR,Embobinado dañado,109784,2,0,0,0,,,0,2,18.21759091,5,16.3,20,1.243333333,17.54333333,5,4,2,0,0,0,0,0,0,200
C,W11287268 / W11282699,Top panel,Sucio,109784,0,1,0,0,,,0,1,9.108795453,4,7.7,30,1.865,9.565,4,4,0,3,0,0,0,0,0,192
C,"W11126886
W11129841",Canasta drum,Mal ensamble de tapón en balance ring,109784,0,1,0,0,,,0,1,9.108795453,4,6.13,60,3.73,9.86,4,4,0,3,0,0,0,0,0,192
C,W11241392,Lid metalico,Strike hook mal ensamblado,109784,0,1,0,0,,,0,1,9.108795453,4,4.79,3,0.1865,4.9765,4,4,0,3,0,0,0,0,0,192
C,"W11296162
W11296163",Mega,Dañado,109784,0,1,0,0,,,0,1,9.108795453,4,4.17,10,0.621666667,4.791666667,4,4,0,3,0,0,0,0,0,192
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Terminal deforme,109784,3,0,0,0,,,0,3,27.32638636,5,1.77,15,0.9325,2.7025,3,4,3,0,0,0,0,0,0,180
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Terminal grande / Terminal larga,109784,3,0,0,0,,,0,3,27.32638636,5,1.77,15,0.9325,2.7025,3,4,3,0,0,0,0,0,0,180
C,W11385805,BASE PROT-PACKAGIN,Falta EPS,109784,3,0,0,0,,,0,3,27.32638636,5,2.06,5,0.310833333,2.370833333,3,4,3,0,0,0,0,0,0,180
C,W10319871,Etiqueta de advertencia,Despegado,109784,0,3,0,0,,,0,3,27.32638636,5,0.01,2,0.124333333,0.134333333,1,4,0,9,0,0,0,0,0,180
C,W10298336 / W10604214,Nut,Ausente,109784,0,3,0,0,,,0,3,27.32638636,5,0.06,5,0.310833333,0.370833333,1,4,0,9,0,0,0,0,0,180
C,"w11295686
w11295684",Tarjeta Robin,LED encendido,109784,3,0,0,0,,,0,3,27.32638636,5,2.78,10,0.621666667,3.401666667,3,4,3,0,0,0,0,0,0,180
C,8572266,Bumper,Ausente,109784,0,3,0,0,,,0,3,27.32638636,5,0.06,2,0.124333333,0.184333333,1,4,0,9,0,0,0,0,0,180
C,"W11383944
W11383945
W11386108
W11386109",Etiqueta autolevel,Ausente,109784,0,3,0,0,,,0,3,27.32638636,5,0.06,2,0.124333333,0.184333333,1,4,0,9,0,0,0,0,0,180
C,"W11383944
W11383945
W11386108
W11386109",Etiqueta autolevel,Burbuja,109784,0,3,0,0,,,0,3,27.32638636,5,0.06,2,0.124333333,0.184333333,1,4,0,9,0,0,0,0,0,180
C,W11368879 /  W11281154 ,Fascia,Poste quebrado,109784,2,0,0,0,,,0,2,18.21759091,5,8.79,15,0.9325,9.7225,4,4,2,0,0,0,0,0,0,160
C,W11287268 / W11282699,Top panel,Amarillo,109784,2,0,0,0,,,0,2,18.21759091,5,7.7,30,1.865,9.565,4,4,2,0,0,0,0,0,0,160
C,w11302950,LID LOCK,Falta cincho,109784,2,0,0,0,,,0,2,18.21759091,5,3.75,15,0.9325,4.6825,4,4,2,0,0,0,0,0,0,160
C,W11260207,Cable poder,Terminal doblada,109784,0,0,1,0,,,0,1,9.108795453,4,1.51,5,0.310833333,1.820833333,2,4,0,0,5,0,0,0,0,160
C,ok,ARNES CABLE DE PODER,Clip sin ensamblar,109784,0,1,0,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,3,0,0,0,0,0,144
C,ok,ARNES CABLE DE PODER,Dañado,109784,0,1,0,0,,0,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,3,0,0,0,0,0,144
C,W11266060,REAR PANEL,Tornillo mal ensamblado,109784,0,1,0,0,,,0,1,9.108795453,4,2.84,5,0.310833333,3.150833333,3,4,0,3,0,0,0,0,0,144
C,W11266061,REAR PANEL,Tornillo equivocado,109784,0,1,0,0,,,0,1,9.108795453,4,2.84,5,0.310833333,3.150833333,3,4,0,3,0,0,0,0,0,144
C,"W10855738
W10855740
W10855743",Support motor,Tuerca mal ensambada,109784,0,1,0,0,,,0,1,9.108795453,4,2.42,10,0.621666667,3.041666667,3,4,0,3,0,0,0,0,0,144
C,W10821259,Tube ring,Tiro corto,109784,0,1,0,0,,,0,1,9.108795453,4,1.95,15,0.9325,2.8825,3,4,0,3,0,0,0,0,0,144
C,W10815026,ACTUATOR - SHIFT,Omision Ausente,109784,0,1,0,0,,,0,1,9.108795453,4,3,12,0.746,3.746,3,4,0,3,0,0,0,0,0,144
C,W10531691 / W10715783,AGITADOR,Pestaña quebrada,109784,0,1,0,0,,,0,1,9.108795453,4,2.99,10,0.621666667,3.611666667,3,4,0,3,0,0,0,0,0,144
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Ausente,109784,0,1,0,0,,,0,1,9.108795453,4,1.76,5,0.310833333,2.070833333,3,4,0,3,0,0,0,0,0,144
C,"W10414381
W10414397
W10414398
W11195059",Encoder,Falla funcional / no inicia prueba,109784,2,0,1,0,,,0,3,27.32638636,5,0.68,3,0.1865,0.8665,1,4,2,0,5,0,0,0,0,140
C,W10815026,ACTUATOR - SHIFT,Conector ausente / Omision ensambke ,109784,2,0,0,0,,,0,2,18.21759091,5,3,12,0.746,3.746,3,4,2,0,0,0,0,0,0,120
C,W11385805,BASE PROT-PACKAGIN,Fuera de dimensión,109784,2,0,0,0,,,0,2,18.21759091,5,2.06,5,0.310833333,2.370833333,3,4,2,0,0,0,0,0,0,120
C,w11131744,TUB COVER - VERTIC,Tiro corto,109784,2,0,0,0,,,0,2,18.21759091,5,2.31,15,0.9325,3.2425,3,4,2,0,0,0,0,0,0,120
C,W11290467 / W11290465 / W11290468 / W11290466,LABEL SCALE LEVEL,Mal posicionado,109784,0,2,0,0,,,0,2,18.21759091,5,0.31,5,0.310833333,0.620833333,1,4,0,6,0,0,0,0,0,120
C,8566198,Air dome,Mal ensamble,109784,0,2,0,0,,,0,2,18.21759091,5,0.07,5,0.310833333,0.380833333,1,4,0,6,0,0,0,0,0,120
C,"w11295686
w11295684",Tarjeta Robin,LED no enciende,109784,2,0,0,0,,,0,2,18.21759091,5,2.78,10,0.621666667,3.401666667,3,4,2,0,0,0,0,0,0,120
C,ok,Etiqueta capacidad,Ausente,109784,0,2,0,0,,,0,2,18.21759091,5,0.02,2,0.124333333,0.144333333,1,4,0,6,0,0,0,0,0,120
C,W11303088,Bracket housing,Pestaña deforme,109784,2,0,0,0,,,0,2,18.21759091,5,1.62,10,0.621666667,2.241666667,3,4,2,0,0,0,0,0,0,120
C,W10655102,Speed wheel,Rebaba,109784,5,0,0,0,,,0,5,45.54397726,5,0.26,12,0.746,1.006,1,4,5,0,0,0,0,0,0,100
C,W11260207,Cable poder,Falla funcional,109784,0,1,0,0,,,0,1,9.108795453,4,1.51,5,0.310833333,1.820833333,2,4,0,3,0,0,0,0,0,96
C,8580006,Dispenser sencillo,Mal ensamblado,109784,0,0,1,0,,,0,1,9.108795453,4,0.94,3,0.1865,1.1265,1,4,0,0,5,0,0,0,0,80
C,W11307231,Inner tray,Mal pegadas,109784,4,0,0,0,,,0,4,36.43518181,5,0.31,2,0.124333333,0.434333333,1,4,4,0,0,0,0,0,0,80
C,W11290467 / W11290465 / W11290468 / W11290466,LABEL SCALE LEVEL,Colocada al reves,109784,0,0,1,0,,,0,1,9.108795453,4,0.31,5,0.310833333,0.620833333,1,4,0,0,5,0,0,0,0,80
C,W11297195 / w11304407 / w11369163,Lid Plastico,Bumper mal ensamblado,109784,1,0,0,0,,,0,1,9.108795453,4,12.17,3,0.1865,12.3565,5,4,1,0,0,0,0,0,0,80
C,w11385745 / w11385756 / w11385737,ACU,CCW Motor de corriente,109784,1,0,0,0,,,0,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,1,0,0,0,0,0,0,80
C,w11385745 / w11385756 / w11385737,ACU,Error en lavado,109784,1,0,0,0,,,0,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,1,0,0,0,0,0,0,80
C,w11385745 / w11385756 / w11385737,ACU,Falla conector para prueba data,109784,1,0,0,0,,,0,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,1,0,0,0,0,0,0,80
C,w11385745 / w11385756 / w11385737,ACU,No descandadea unidad,109784,1,0,0,0,,,0,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,1,0,0,0,0,0,0,80
C,w11385745 / w11385756 / w11385737,ACU,Sin corriente,109784,1,0,0,0,,,0,1,9.108795453,4,10.97,15,0.9325,11.9025,5,4,1,0,0,0,0,0,0,80
C,"W10677719, W10899834, W10677721",MOTOR,Abanico quebrado,109784,1,0,0,0,,,0,1,9.108795453,4,16.3,20,1.243333333,17.54333333,5,4,1,0,0,0,0,0,0,80
C,W10516132,PLANETARIO,Empaque dañado,109784,1,0,0,0,,,0,1,9.108795453,4,9.4,30,1.865,11.265,5,4,1,0,0,0,0,0,0,80
C,"W10677719, W10899834, W10677721",MOTOR,Falla ccw ,109784,1,0,0,0,,,0,1,9.108795453,4,16.3,20,1.243333333,17.54333333,5,4,1,0,0,0,0,0,0,80
C,"W10677719, W10899834, W10677721",MOTOR,Falta de etiqueta ,109784,1,0,0,0,,,0,1,9.108795453,4,16.3,20,1.243333333,17.54333333,5,4,1,0,0,0,0,0,0,80
C,W11368879 /  W11281154 ,Fascia,Overlay movido,109784,1,0,0,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,1,0,0,0,0,0,0,64
C,W11368879 /  W11281154 ,Fascia,Pandeada,109784,1,0,0,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,1,0,0,0,0,0,0,64
C,W11368879 /  W11281154 ,Fascia,Orificio tapado,109784,1,0,0,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,1,0,0,0,0,0,0,64
C,W11287268 / W11282699,Top panel,Mal retrabajo,109784,1,0,0,0,,,0,1,9.108795453,4,7.7,30,1.865,9.565,4,4,1,0,0,0,0,0,0,64
C,w11302950,LID LOCK,Cable expuesto,109784,1,0,0,0,,,0,1,9.108795453,4,3.75,15,0.9325,4.6825,4,4,1,0,0,0,0,0,0,64
C,w11302950,LID LOCK,Se apaga unidad,109784,1,0,0,0,,,0,1,9.108795453,4,3.75,15,0.9325,4.6825,4,4,1,0,0,0,0,0,0,64
C,"W11296162
W11296163",Mega,Arnes dañado,109784,1,0,0,0,,,0,1,9.108795453,4,4.17,10,0.621666667,4.791666667,4,4,1,0,0,0,0,0,0,64
C,"W11296162
W11296163",Mega,Led candado equivocado,109784,1,0,0,0,,,0,1,9.108795453,4,4.17,10,0.621666667,4.791666667,4,4,1,0,0,0,0,0,0,64
C,W10550173,COVER PULLEY,Quebrado,109784,0,1,0,0,0,0,0,1,9.108795453,4,0.72,3,0.1865,0.9065,1,4,0,3,0,0,0,0,0,48
C,W10550173,COVER PULLEY,Poste deforme,109784,0,1,0,0,0,0,0,1,9.108795453,4,0.72,3,0.1865,0.9065,1,4,0,3,0,0,0,0,0,48
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Falta tapon de seguridad,109784,1,0,0,0,,,0,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,1,0,0,0,0,0,0,48
C,W10815026,ACTUATOR - SHIFT,Pin elevado,109784,1,0,0,0,,,0,1,9.108795453,4,3,12,0.746,3.746,3,4,1,0,0,0,0,0,0,48
C,W11290467 / W11290465 / W11290468 / W11290466,LABEL SCALE LEVEL,Despegado,109784,0,1,0,0,,,0,1,9.108795453,4,0.31,5,0.310833333,0.620833333,1,4,0,3,0,0,0,0,0,48
C,ok,Etiqueta Serial ,Ausente,109784,0,1,0,0,,,0,1,9.108795453,4,0.02,2,0.124333333,0.144333333,1,4,0,3,0,0,0,0,0,48
C,"w11295686
w11295684",Tarjeta Robin,Falta de transistor,109784,1,0,0,0,,,0,1,9.108795453,4,2.78,10,0.621666667,3.401666667,3,4,1,0,0,0,0,0,0,48
C,"W11241403
W11241404",Bracket metalico,Tornillo ausente,109784,0,1,0,0,,,0,1,9.108795453,4,0.19,2,0.124333333,0.314333333,1,4,0,3,0,0,0,0,0,48
C,ok,Carton tag,Ausente,109784,0,1,0,0,,,0,1,9.108795453,4,0.03,1,0.062166667,0.092166667,1,4,0,3,0,0,0,0,0,48
C,w11260197 / w11260203 / w11260206,ARNES,Fuera de especificación,109784,1,0,0,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,1,0,0,0,0,0,0,48
C,w11260197 / w11260203 / w11260206,ARNES,Cable expuesto - recubrimiento corto,109784,1,0,0,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,1,0,0,0,0,0,0,48
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Terminal corta,109784,1,0,0,0,,,0,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,1,0,0,0,0,0,0,48
C,W11303088,Bracket housing,Tiro corto,109784,1,0,0,0,,,0,1,9.108795453,4,1.62,10,0.621666667,2.241666667,3,4,1,0,0,0,0,0,0,48
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Tiro corto,109784,1,0,0,0,,,0,1,9.108795453,4,1.76,5,0.310833333,2.070833333,3,4,1,0,0,0,0,0,0,48
C,"W11295234
W11295240
w11295241
W11295236",CAP HINGE,Quebrado,109784,2,0,0,0,,,0,2,18.21759091,5,0.12,1,0.062166667,0.182166667,1,4,2,0,0,0,0,0,0,40
C,"W11258338  W11258336  W11294875
W11294877",Cover hinge LH y RH,Rebaba,109784,2,0,0,0,,,0,2,18.21759091,5,0.21,3,0.1865,0.3965,1,4,2,0,0,0,0,0,0,40
C,"W11258338  W11258336  W11294875
W11294877",Cover hinge LH y RH,Tiro corto,109784,2,0,0,0,,,0,2,18.21759091,5,0.21,3,0.1865,0.3965,1,4,2,0,0,0,0,0,0,40
C,W10601366,MANGUERA DE DRENADO ,Falta de guía,109784,2,0,0,0,,,0,2,18.21759091,5,0.66,2,0.124333333,0.784333333,1,4,2,0,0,0,0,0,0,40
C,W11260207,Cable poder,Distancia de clip corta,109784,1,0,0,0,,,0,1,9.108795453,4,1.51,5,0.310833333,1.820833333,2,4,1,0,0,0,0,0,0,32
