RANK,Part Number,Component Code,Problem Description ,Volume,SQ,In Process,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5 of freq,$,Min,Labor Cost,Total Cost,R=1:5 of cost,R=1:10 severity,1,3,5,30,35,40,48,Priority 
C,ok,Etiqueta de energía,Ausente,109784,0,30,6,0,,,0,36,327.9166363,5,0.02,2,0.124333333,0.144333333,1,4,0,90,30,0,0,0,0,2400
C,W10215115,Impeller,Tornillo barrido,109784,0,10,2,0,,,0,12,109.3055454,5,1.6,5,0.310833333,1.910833333,3,4,0,30,10,0,0,0,0,2400
C,W11368879 /  W11281154 ,Fascia,Overlay marcado / Rayado,109784,29,0,0,0,,,0,29,264.1550681,5,8.79,15,0.9325,9.7225,4,4,29,0,0,0,0,0,0,2320
C,W11368879 /  W11281154 ,Fascia,Perilla ausente,109784,0,3,4,0,,,0,7,63.76156817,5,8.79,15,0.9325,9.7225,4,4,0,9,20,0,0,0,0,2320
C,W10531691 / W10715783,AGITADOR,Tornillo adicional,109784,0,0,0,0,,,1,1,9.108795453,4,2.99,10,0.621666667,3.611666667,3,4,0,0,0,0,0,0,48,2304
C,W10531691 / W10715783,AGITADOR,Gap,109784,0,0,0,0,,,1,1,9.108795453,4,2.99,10,0.621666667,3.611666667,3,4,0,0,0,0,0,0,48,2304
C,,ARNES,Sin continuidad,109784,0,0,0,0,,,1,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,0,0,0,0,48,2304
C,W11084453 / W11226774,VARILLAS DE SUSPENSIÓN,Falta,109784,0,0,0,0,,,1,1,9.108795453,4,0.7,30,1.865,2.565,3,4,0,0,0,0,0,0,48,2304
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Tapada,109784,0,0,0,0,,,1,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,48,2304
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Quebrada,109784,0,0,0,0,,,1,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,48,2304
C,W10465543,BOMBA,Quemada,109784,0,0,0,0,,,1,1,9.108795453,4,2.6,15,0.9325,3.5325,3,4,0,0,0,0,0,0,48,2304
C,ok,BOMBA // ACU,En corto,109784,0,0,0,0,,,1,1,9.108795453,4,2.6,15,0.9325,3.5325,3,4,0,0,0,0,0,0,48,2304
C,w11101593 / w11101591 / W11161683 / W11161682,BOBINA DE VALVULA,Agrietada,109784,0,0,0,0,,,1,1,9.108795453,4,1.77,15,0.9325,2.7025,3,4,0,0,0,0,0,0,48,2304
C,W10239909,BALERO,Fuera de posición,109784,0,0,0,0,,,1,1,9.108795453,4,0.6,30,1.865,2.465,3,4,0,0,0,0,0,0,48,2304
C,W11373428,BOLAS DE SUSPENSIÓN,Sueltas,109784,0,0,0,0,,,1,1,9.108795453,4,0.06,30,1.865,1.925,3,4,0,0,0,0,0,0,48,2304
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Fuera de posición,109784,0,0,0,0,,,1,1,9.108795453,4,1.76,5,0.310833333,2.070833333,3,4,0,0,0,0,0,0,48,2304
C,w11385745 / w11385756 / w11385737,ACU,Marca spin corriente / corriente 0 no realiza spin,109784,22,0,0,0,,,0,22,200.3935,5,10.97,15,0.9325,11.9025,5,4,22,0,0,0,0,0,0,2200
C,"W10677719, W10899834, W10677721",MOTOR,Agrietados / con golpes / quebrados,109784,0,2,3,0,,,0,5,45.54397726,5,16.3,20,1.243333333,17.54333333,5,4,0,6,15,0,0,0,0,2100
C,"W11241403
W11241404",Bracket metalico,Agrietado,109784,0,34,0,0,,,0,34,309.6990454,5,0.19,2,0.124333333,0.314333333,1,4,0,102,0,0,0,0,0,2040
C,"W11296162
W11296163",Mega,Falla de led,109784,2,1,4,0,,,0,7,63.76156817,5,4.17,10,0.621666667,4.791666667,4,4,2,3,20,0,0,0,0,2000
C,w11385745 / w11385756 / w11385737,ACU,Conector invertido,109784,0,0,4,0,,,0,4,36.43518181,5,10.97,15,0.9325,11.9025,5,4,0,0,20,0,0,0,0,2000
C,W10465543,BOMBA,Abrazadera mal ensamblada,109784,0,11,0,0,,,0,11,100.19675,5,2.6,15,0.9325,3.5325,3,4,0,33,0,0,0,0,0,1980
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Tono diferente,109784,33,0,0,0,,,0,33,300.5902499,5,1.76,5,0.310833333,2.070833333,3,4,33,0,0,0,0,0,0,1980
C,W11368879 /  W11281154 ,Fascia,Led opaco,109784,24,0,0,0,,,0,24,218.6110909,5,8.79,15,0.9325,9.7225,4,4,24,0,0,0,0,0,0,1920
C,"W11126886
W11129841",Canasta drum,Mal clinchada,109784,0,8,0,0,,,0,8,72.87036362,5,6.13,60,3.73,9.86,4,4,0,24,0,0,0,0,0,1920
C,W10843769,CAPACITOR,Terminal doblada,109784,0,9,1,0,0,0,0,10,91.08795453,5,2.02,15,0.9325,2.9525,3,4,0,27,5,0,0,0,0,1920
C,W10550173,COVER PULLEY,Flojo / falta de torque / Tornillo ausente,109784,0,6,6,0,,,1,13,118.4143409,5,0.72,3,0.1865,0.9065,1,4,0,18,30,0,0,0,48,1920
C,W10601366,MANGUERA DE DRENADO,Faltante,109784,0,0,0,0,,,2,2,18.21759091,5,0.66,2,0.124333333,0.784333333,1,4,0,0,0,0,0,0,96,1920
C,"W11126948
W11126875
W11339251
W11339248",TINA,Pivotes quebrados,109784,0,3,2,0,0,0,0,5,45.54397726,5,12.72,60,3.73,16.45,5,4,0,9,10,0,0,0,0,1900
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Mal ensamble,109784,31,0,0,0,,,0,31,282.372659,5,1.76,5,0.310833333,2.070833333,3,4,31,0,0,0,0,0,0,1860
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Terminal safada,109784,0,0,6,0,,,0,6,54.65277272,5,1.77,15,0.9325,2.7025,3,4,0,0,30,0,0,0,0,1800
C,W11368879 /  W11281154 ,Fascia,Golpe/quebrado ,109784,22,0,0,0,,,0,22,200.3935,5,8.79,15,0.9325,9.7225,4,4,22,0,0,0,0,0,0,1760
C,W11287268 / W11282699,Top panel,Bezel ausente,109784,0,0,4,0,,,0,4,36.43518181,5,7.7,30,1.865,9.565,4,4,0,0,20,0,0,0,0,1600
